N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
114,현대제철,"25,400",상승850,+3.46%,"5,000","33,895","133,446",18.20,"220,467",-291.95,-0.06
115,BNK금융지주,"10,490",상승120,+1.16%,"5,000","33,398","318,384",40.89,"466,996",4.63,6.96
116,KODEX 종합채권(AA-이상)액티브,"119,180",하락20,-0.02%,0,"32,337","27,133",0.00,"30,408",N/A,N/A
117,시프트업,"54,700",하락600,-1.08%,200,"31,991","58,485",37.76,"66,827",20.13,31.30
118,두산로보틱스,"49,050",상승800,+1.66%,500,"31,794","64,820",1.94,"106,326",-86.97,-8.69
119,엔씨소프트,"147,400",하락700,-0.47%,500,"31,756","21,544",37.39,"28,893",34.35,2.99
120,SK바이오사이언스,"39,350",하락950,-2.36%,500,"30,838","78,369",6.61,"62,681",-56.38,-3.07
121,TIGER 미국테크TOP10 INDXX,"21,955",상승550,+2.57%,0,"30,682","139,750",0.52,"1,758,584",N/A,N/A
122,한화비전,"59,600","하락3,100",-4.94%,500,"30,091","50,488",18.86,"458,330",93.86,N/A
123,현대엘리베이터,"76,800",상승100,+0.13%,"5,000","30,023","39,092",28.43,"88,457",16.39,14.42
124,금호석유화학,"113,000",하락800,-0.70%,"5,000","29,899","26,460",17.37,"124,376",9.98,5.88
125,이수페타시스,"39,900",상승350,+0.88%,"1,000","29,290","73,409",13.95,"738,621",35.75,24.92
126,TIGER KOFR금리액티브(합성),"108,745",상승10,+0.01%,0,"29,011","26,678",0.00,"28,440",N/A,N/A
127,RISE 머니마켓액티브,"54,140",보합0,0.00%,0,"28,917","53,412",0.95,"126,478",N/A,N/A
128,롯데케미칼,"63,400","상승1,600",+2.59%,"5,000","27,120","42,775",20.50,"54,323",-1.59,-11.44
129,F&F,"69,100",상승700,+1.02%,100,"26,470","38,307",11.46,"11,454",7.34,25.27
130,동서,"26,000",하락200,-0.76%,500,"25,922","99,700",4.35,"24,490",16.49,9.52
131,KODEX 레버리지,"16,030",상승230,+1.46%,0,"25,592","159,650",0.47,"8,728,071",N/A,N/A
132,롯데지주,"24,100",상승750,+3.21%,200,"25,283","104,909",7.40,"163,269",-2.50,-15.56
133,서울보증보험,"36,150",상승400,+1.12%,"2,500","25,240","69,822",0.72,"63,332",11.84,4.12
134,이마트,"91,300","하락2,200",-2.35%,"5,000","25,195","27,596",20.02,"123,276",-4.31,-5.40
135,농심,"410,500","하락13,500",-3.18%,"5,000","24,969","6,083",18.19,"16,173",15.87,6.17
136,한화엔진,"29,550","하락1,800",-5.74%,"1,000","24,659","83,447",11.83,"1,282,216",30.46,25.64
